ID,x,y
pin1,-19.594042968750003,-24.367968750000003
pin2,-32.59404296875,-24.367968750000003
calib1,-51.89404296875,-19.76796875
calib2,-102.69404296875,-19.76796875
A8,-121.19404296875,69.13203125
A7,-108.49404296875001,69.13203125
A6,-95.79404296875,69.13203125
A5,-83.09404296875,69.13203125
A4,-70.39404296875,69.13203125
A3,-57.694042968750004,69.13203125
A2,-44.99404296875,69.13203125
A1,-32.59404296875,69.13203125
B8,-121.19404296875,56.432031249999994
B7,-108.49404296875001,56.432031249999994
B6,-95.79404296875,56.432031249999994
B5,-83.09404296875,56.432031249999994
B4,-70.39404296875,56.432031249999994
B3,-57.694042968750004,56.432031249999994
B2,-44.99404296875,56.432031249999994
B1,-32.59404296875,56.432031249999994
C8,-121.19404296875,43.73203124999999
C7,-108.49404296875001,43.73203124999999
C6,-95.79404296875,43.73203124999999
C5,-83.09404296875,43.73203124999999
C4,-70.39404296875,43.73203124999999
C3,-57.694042968750004,43.73203124999999
C2,-44.99404296875,43.73203124999999
C1,-32.59404296875,43.73203124999999
D8,-121.19404296875,31.032031249999996
D7,-108.49404296875001,31.032031249999996
D6,-95.79404296875,31.032031249999996
D5,-83.09404296875,31.032031249999996
D4,-70.39404296875,31.032031249999996
D3,-57.694042968750004,31.032031249999996
D2,-44.99404296875,31.032031249999996
D1,-32.59404296875,31.032031249999996
E8,-121.19404296875,18.33203125
E7,-108.49404296875001,18.33203125
E6,-95.79404296875,18.33203125
E5,-83.09404296875,18.33203125
E4,-70.39404296875,18.33203125
E3,-57.694042968750004,18.33203125
E2,-44.99404296875,18.33203125
E1,-32.59404296875,18.33203125
F8,-121.19404296875,5.632031249999997
F7,-108.49404296875001,5.632031249999997
F6,-95.79404296875,5.632031249999997
F5,-83.09404296875,5.632031249999997
F4,-70.39404296875,5.632031249999997
F3,-57.694042968750004,5.632031249999997
F2,-44.99404296875,5.632031249999997
F1,-32.59404296875,5.632031249999997
