q,I
0.01758286988390708,12889.842
0.05274860965172124,13052.031
0.0879143494195354,13608.902
0.12308008918734956,13803.373
0.15824582895516373,13721.969
0.1934115687229779,13587.138
0.22857730849079205,13605.38
0.2637430482586062,13632.132
0.29890878802642035,13533.573
0.3340745277942346,13547.023
0.3692402675620487,13513.846
0.4044060073298628,13285.882
0.439571747097677,13051.532
0.4747374868654912,12973.787
0.5099032266333053,13040.935
0.5450689664011195,13087.519
0.5802347061689337,13223.818
0.6154004459367478,13139.224
0.6505661857045619,13154.254
0.685731925472376,13204.382
0.7208976652401902,13158.996
0.7560634050080044,13154.342
0.7912291447758185,13168.064
0.8263948845436326,13199.789
0.8615606243114469,13182.456
0.8967263640792611,13187.27
0.9318921038470752,13306.446
0.9670578436148893,13459.612
1.0022235833827036,13477.243
1.0373893231505178,13502.081
1.0725550629183318,13625.565
1.107720802686146,13676.553
1.14288654245396,13648.226
1.1780522822217745,13625.288
1.2132180219895885,13649.284
1.2483837617574025,13572.21
1.283549501525217,13526.943
1.318715241293031,13614.22
1.353880981060845,13552.953
1.3890467208286594,13510.276
1.4242124605964734,13503.821
1.4593782003642874,13485.786
1.494543940132102,13448.707
1.529709679899916,13443.549
1.56487541966773,13453.731
1.6000411594355441,13495.598
1.6352068992033584,13531.349
1.6703726389711726,13421.556
1.7055383787389866,13348.636
1.7407041185068008,13365.185
1.775869858274615,13444.471
1.811035598042429,13533.027
1.8462013378102435,13500.265
1.8813670775780575,13454.221
1.9165328173458716,13522.109
1.951698557113686,13524.267
1.9868642968815,13545.178
2.0220300366493142,13578.012
2.0571957764171285,13510.45
2.0923615161849423,13502.25
2.1275272559527565,13524.724
2.1626929957205707,13520.364
2.197858735488385,13549.164
2.233024475256199,13588.638
2.2681902150240134,13641.7295
2.303355954791827,13680.108
2.3385216945596414,13665.203
2.373687434327456,13639.222
2.4088531740952703,13679.289
2.444018913863084,13687.416
2.4791846536308983,13705.65
2.5143503933987126,13751.43
2.549516133166527,13772.797
2.584681872934341,13822.946
2.6198476127021553,13815.385
2.655013352469969,13799.281
2.6901790922377833,13778.537
2.7253448320055975,13762.73
2.7605105717734117,13729.776
2.795676311541226,13718.487
2.83084205130904,13789.568
2.866007791076854,13819.436
2.9011735308446682,13821.184
2.936339270612483,13845.252
2.9715050103802967,13872.563
3.006670750148111,13896.765
3.041836489915925,13932.102
3.077002229683739,13892.087
3.112167969451553,13863.307
3.147333709219368,13918.075
3.1824994489871816,13969.458
3.217665188754996,14016.406
3.2528309285228096,14047.41
3.287996668290624,14072.443
3.3231624080584385,14065.044
3.3583281478262523,14085.156
3.3934938875940666,14143.832
3.428659627361881,14244.785
3.4638253671296946,14358.128
3.4989911068975093,14568.277
3.5341568466653235,14825.081
3.5693225864331373,14954.595
3.6044883262009515,14848.276
3.6396540659687657,14693.416
3.67481980573658,14638.511
3.709985545504394,14630.297
3.7451512852722084,14735.114
3.780317025040022,14940.118
3.8154827648078364,15180.285
3.8506485045756507,15316.71
3.885814244343465,15290.231
3.920979984111279,15231.034
3.9561457238790934,15237.556
3.991311463646907,15363.786
4.026477203414721,15458.645
4.061642943182536,15500.51
4.09680868295035,15542.088
4.131974422718164,15565.625
4.167140162485978,15688.388
4.2023059022537925,15826.468
4.237471642021606,15795.178
4.272637381789421,15805.729
4.307803121557235,15926.875
4.342968861325049,16071.995
4.378134601092863,16184.085
4.413300340860677,16274.03
4.448466080628491,16328.831
4.4836318203963055,16356.488
4.51879756016412,16394.047
4.553963299931934,16454.818
4.589129039699748,16493.107
4.624294779467562,16514.537
4.659460519235376,16582.99
4.694626259003191,16649.066
4.729791998771005,16704.605
4.764957738538818,16776.854
4.8001234783066336,16854.936
4.835289218074447,16907.377
4.870454957842261,16910.95
4.905620697610076,16891.215
4.94078643737789,16922.988
4.975952177145704,17014.86
5.011117916913518,17082.043
5.046283656681332,17150.668
5.0814493964491465,17196.111
5.116615136216961,17245.71
5.151780875984775,17290.932
5.186946615752588,17276.633
5.222112355520403,17240.41
5.257278095288217,17294.693
5.292443835056031,17356.527
5.327609574823846,17367.736
5.3627753145916595,17420.455
5.397941054359474,17480.049
5.433106794127287,17518.26
5.468272533895102,17534.926
5.503438273662916,17564.676
5.53860401343073,17612.953
5.573769753198545,17651.36
5.608935492966358,17684.992
5.644101232734172,17737.115
5.6792669725019875,17794.006
5.714432712269801,17815.584
5.749598452037615,17821.193
5.784764191805429,17792.277
5.819929931573244,17803.902
5.855095671341058,17855.11
5.890261411108872,17888.252
5.925427150876686,17954.68
5.9605928906445,17999.611
5.995758630412315,18029.607
6.030924370180129,18212.275
6.066090109947942,18686.09
6.101255849715757,19341.246
6.136421589483571,19629.018
6.171587329251385,19238.834
6.206753069019199,18679.037
6.241918808787013,18359.814
6.277084548554828,18153.217
6.312250288322642,18092.656
6.347416028090456,18090.297
6.3825817678582695,18059.48
6.417747507626085,18016.402
6.452913247393899,17975.455
6.488078987161712,18023.021
6.523244726929527,18097.82
6.558410466697341,18157.422
6.593576206465155,18214.988
6.62874194623297,18284.877
6.663907686000783,18265.514
6.6990734257685975,18210.273
6.734239165536411,18232.809
6.769404905304226,18243.164
6.80457064507204,18201.896
6.8397363848398545,18148.387
6.874902124607669,18101.426
6.910067864375482,18084.62
6.945233604143297,18085.135
6.980399343911111,18111.965
7.015565083678925,18140.543
7.05073082344674,18158.084
7.085896563214553,18165.77
7.121062302982367,18193.32
7.1562280427501825,18196.207
7.191393782517996,18179.553
7.22655952228581,18242.574
7.2617252620536235,18372.482
7.296891001821439,18525.662
7.332056741589253,18557.492
7.367222481357066,18439.922
7.402388221124881,18339.002
7.437553960892695,18275.107
7.472719700660509,18246.732
7.507885440428323,18262.695
7.543051180196137,18265.293
7.5782169199639515,18285.469
7.613382659731766,18350.34
7.64854839949958,18405.145
7.683714139267393,18460.846
7.7188798790352084,18468.432
7.754045618803023,18427.475
7.789211358570836,18387.002
7.824377098338651,18382.729
7.8595428381064645,18395.695
7.894708577874279,18391.098
7.929874317642094,18386.623
7.965040057409907,18405.674
8.000205797177722,18400.432
8.035371536945535,18418.59
8.070537276713349,18453.977
8.105703016481165,18451.027
8.140868756248977,18434.648
8.176034496016792,18484.586
8.211200235784606,18516.854
8.24636597555242,18511.793
8.281531715320236,18512.543
8.316697455088049,18520.836
8.351863194855863,18530.756
8.387028934623677,18569.55
8.422194674391491,18609.992
8.457360414159306,18608.102
8.49252615392712,18596.764
8.527691893694934,18627.96
8.562857633462748,18649.59
8.598023373230562,18677.762
8.633189112998377,18698.086
8.66835485276619,18725.545
8.703520592534005,18795.885
8.73868633230182,18902.533
8.773852072069634,19120.115
8.809017811837446,19356.748
8.844183551605262,19397.334
8.879349291373076,19198.559
8.914515031140889,19008.602
8.949680770908705,18918.506
8.984846510676517,18878.73
9.020012250444331,18916.31
9.055177990212147,19004.873
9.09034372997996,19126.518
9.125509469747774,19248.842
9.160675209515588,19262.188
9.195840949283403,19243.162
9.231006689051217,19384.705
9.266172428819031,19874.924
9.301338168586845,21030.006
9.33650390835466,22895.377
9.371669648122474,24174.451
9.406835387890288,23777.516
9.442001127658102,22443.564
9.477166867425915,21588.656
9.51233260719373,21193.36
9.547498346961545,20699.352
9.582664086729359,20040.1
9.617829826497173,19612.4
9.652995566264986,19497.717
9.6881613060328,19540.67
9.723327045800616,19691.723
9.75849278556843,19952.816
9.793658525336244,20139.717
9.828824265104057,20208.89
9.863990004871871,20489.12
9.899155744639685,21164.395
9.934321484407501,22144.695
9.969487224175316,23413.094
10.004652963943128,24253.264
10.039818703710942,23574.613
10.074984443478757,22065.602
10.110150183246573,21286.268
10.145315923014387,21384.543
10.1804816627822,21514.535
10.215647402550013,21083.943
10.250813142317828,20443.201
10.285978882085642,20119.193
10.321144621853454,20034.502
10.35631036162127,20033.072
10.391476101389085,20078.004
10.426641841156899,20185.19
10.461807580924713,20336.807
10.496973320692526,20510.549
10.53213906046034,20744.143
10.567304800228156,20944.27
