q,I
0.01758286988390708,13024.3
0.05274860965172124,13162.156
0.0879143494195354,13700.619
0.12308008918734956,13897.481
0.15824582895516373,13814.196
0.1934115687229779,13688.324
0.22857730849079205,13710.798
0.2637430482586062,13731.912
0.29890878802642035,13633.106
0.3340745277942346,13643.677
0.3692402675620487,13618.783
0.4044060073298628,13397.502
0.439571747097677,13161.625
0.4747374868654912,13064.613
0.5099032266333053,13128.027
0.5450689664011195,13181.625
0.5802347061689337,13322.271
0.6154004459367478,13238.954
0.6505661857045619,13252.271
0.685731925472376,13304.265
0.7208976652401902,13257.051
0.7560634050080044,13250.594
0.7912291447758185,13258.962
0.8263948845436326,13291.583
0.8615606243114469,13275.457
0.8967263640792611,13272.994
0.9318921038470752,13393.941
0.9670578436148893,13542.344
1.0022235833827036,13566.551
1.0373893231505178,13592.774
1.0725550629183318,13718.172
1.107720802686146,13766.267
1.14288654245396,13735.906
1.1780522822217745,13712.858
1.2132180219895885,13736.819
1.2483837617574025,13661.126
1.283549501525217,13616.09
1.318715241293031,13704.61
1.353880981060845,13638.448
1.3890467208286594,13596.257
1.4242124605964734,13585.865
1.4593782003642874,13571.56
1.494543940132102,13535.683
1.529709679899916,13530.419
1.56487541966773,13536.889
1.6000411594355441,13582.219
1.6352068992033584,13617.526
1.6703726389711726,13504.094
1.7055383787389866,13431.657
1.7407041185068008,13448.517
1.775869858274615,13530.556
1.811035598042429,13624.687
1.8462013378102435,13585.659
1.8813670775780575,13539.478
1.9165328173458716,13619.69
1.951698557113686,13632.558
1.9868642968815,13664.346
2.0220300366493142,13710.398
2.0571957764171285,13658.132
2.0923615161849423,13667.892
2.1275272559527565,13721.246
2.1626929957205707,13745.901
2.197858735488385,13806.757
2.233024475256199,13878.723
2.2681902150240134,13974.007
2.303355954791827,14064.584
2.3385216945596414,14089.7295
2.373687434327456,14108.312
2.4088531740952703,14204.537
2.444018913863084,14275.398
2.4791846536308983,14347.6455
2.5143503933987126,14447.901
2.549516133166527,14512.957
2.584681872934341,14619.655
2.6198476127021553,14662.515
2.655013352469969,14688.822
2.6901790922377833,14719.722
2.7253448320055975,14749.454
2.7605105717734117,14755.068
2.795676311541226,14785.011
2.83084205130904,14898.0
2.866007791076854,14972.284
2.9011735308446682,15023.744
2.936339270612483,15105.6
2.9715050103802967,15184.68
3.006670750148111,15269.324
3.041836489915925,15360.552
3.077002229683739,15377.436
3.112167969451553,15408.163
3.147333709219368,15516.153
3.1824994489871816,15632.935
3.217665188754996,15742.93
3.2528309285228096,15844.13
3.287996668290624,15948.981
3.3231624080584385,16017.968
3.3583281478262523,16122.865
3.3934938875940666,16278.002
3.428659627361881,16469.352
3.4638253671296946,16638.266
3.4989911068975093,16819.764
3.5341568466653235,16964.436
3.5693225864331373,17122.836
3.6044883262009515,17319.193
3.6396540659687657,17517.686
3.67481980573658,17719.613
3.709985545504394,17912.082
3.7451512852722084,18165.898
3.780317025040022,18453.16
3.8154827648078364,18726.332
3.8506485045756507,18978.123
3.885814244343465,19214.059
3.920979984111279,19440.346
3.9561457238790934,19674.596
3.991311463646907,19991.703
4.026477203414721,20270.752
4.061642943182536,20519.81
4.09680868295035,20756.76
4.131974422718164,20949.252
4.167140162485978,21243.879
4.2023059022537925,21542.535
4.237471642021606,21672.715
4.272637381789421,21840.307
4.307803121557235,22098.729
4.342968861325049,22370.135
4.378134601092863,22595.75
4.413300340860677,22818.232
4.448466080628491,23061.324
4.4836318203963055,23298.453
4.51879756016412,23532.74
4.553963299931934,23743.066
4.589129039699748,23924.719
4.624294779467562,24092.86
4.659460519235376,24287.018
4.694626259003191,24478.875
4.729791998771005,24672.13
4.764957738538818,24868.947
4.8001234783066336,25072.248
4.835289218074447,25277.295
4.870454957842261,25437.13
4.905620697610076,25548.088
4.94078643737789,25701.309
4.975952177145704,25897.127
5.011117916913518,26054.523
5.046283656681332,26193.572
5.0814493964491465,26329.51
5.116615136216961,26534.7
5.151780875984775,26758.453
5.186946615752588,26888.389
5.222112355520403,26971.186
5.257278095288217,27135.64
5.292443835056031,27303.787
5.327609574823846,27421.422
