q,I
0.01758286988390708,12924.908
0.05274860965172124,13072.9
0.0879143494195354,13615.645
0.12308008918734956,13813.431
0.15824582895516373,13713.279
0.1934115687229779,13576.56
0.22857730849079205,13600.654
0.2637430482586062,13624.398
0.29890878802642035,13532.221
0.3340745277942346,13535.048
0.3692402675620487,13508.247
0.4044060073298628,13294.209
0.439571747097677,13053.661
0.4747374868654912,12975.58
0.5099032266333053,13040.219
0.5450689664011195,13083.549
0.5802347061689337,13232.084
0.6154004459367478,13147.659
0.6505661857045619,13158.27
0.685731925472376,13208.193
0.7208976652401902,13158.662
0.7560634050080044,13151.409
0.7912291447758185,13168.791
0.8263948845436326,13203.633
0.8615606243114469,13179.3125
0.8967263640792611,13173.556
0.9318921038470752,13300.77
0.9670578436148893,13448.561
1.0022235833827036,13472.223
1.0373893231505178,13502.568
1.0725550629183318,13622.9375
1.107720802686146,13666.183
1.14288654245396,13640.484
1.1780522822217745,13616.891
1.2132180219895885,13637.702
1.2483837617574025,13563.505
1.283549501525217,13522.962
1.318715241293031,13612.567
1.353880981060845,13546.138
1.3890467208286594,13502.723
1.4242124605964734,13491.786
1.4593782003642874,13473.182
1.494543940132102,13444.36
1.529709679899916,13442.002
1.56487541966773,13450.956
1.6000411594355441,13496.129
1.6352068992033584,13537.377
1.6703726389711726,13434.61
1.7055383787389866,13354.45
1.7407041185068008,13372.185
1.775869858274615,13445.044
1.811035598042429,13532.415
1.8462013378102435,13500.921
1.8813670775780575,13462.124
1.9165328173458716,13536.22
1.951698557113686,13549.87
1.9868642968815,13585.109
2.0220300366493142,13632.742
2.0571957764171285,13576.434
2.0923615161849423,13586.404
2.1275272559527565,13635.444
2.1626929957205707,13659.964
2.197858735488385,13719.44
2.233024475256199,13787.735
2.2681902150240134,13884.723
2.303355954791827,13978.199
2.3385216945596414,14005.078
2.373687434327456,14031.438
2.4088531740952703,14127.038
2.444018913863084,14202.033
2.4791846536308983,14275.825
2.5143503933987126,14372.324
2.549516133166527,14443.313
2.584681872934341,14546.963
2.6198476127021553,14583.932
2.655013352469969,14616.023
2.6901790922377833,14638.454
2.7253448320055975,14671.625
2.7605105717734117,14688.616
2.795676311541226,14730.217
2.83084205130904,14853.423
2.866007791076854,14923.693
2.9011735308446682,14960.613
2.936339270612483,15039.587
2.9715050103802967,15118.9
3.006670750148111,15197.992
3.041836489915925,15294.068
3.077002229683739,15306.646
3.112167969451553,15332.282
3.147333709219368,15439.834
3.1824994489871816,15557.519
3.217665188754996,15676.904
3.2528309285228096,15786.01
3.287996668290624,15890.947
3.3231624080584385,15972.27
3.3583281478262523,16100.563
3.3934938875940666,16293.2705
3.428659627361881,16627.781
3.4638253671296946,17238.201
3.4989911068975093,18454.348
3.5341568466653235,20135.717
3.5693225864331373,20792.918
3.6044883262009515,19897.428
3.6396540659687657,18834.377
3.67481980573658,18409.508
3.709985545504394,18321.549
3.7451512852722084,18623.873
3.780317025040022,19385.81
3.8154827648078364,20460.521
3.8506485045756507,20935.19
3.885814244343465,20531.707
3.920979984111279,20025.832
3.9561457238790934,19917.818
3.991311463646907,20141.918
4.026477203414721,20345.033
4.061642943182536,20493.842
4.09680868295035,20662.213
4.131974422718164,20831.066
4.167140162485978,21117.229
4.2023059022537925,21406.945
4.237471642021606,21531.16
4.272637381789421,21697.197
4.307803121557235,21967.602
4.342968861325049,22294.568
4.378134601092863,22635.31
4.413300340860677,22930.068
4.448466080628491,23093.066
4.4836318203963055,23203.756
4.51879756016412,23363.988
4.553963299931934,23546.621
4.589129039699748,23723.992
4.624294779467562,23882.59
4.659460519235376,24068.922
4.694626259003191,24239.607
4.729791998771005,24427.102
4.764957738538818,24629.951
4.8001234783066336,24823.309
4.835289218074447,25020.846
4.870454957842261,25181.291
4.905620697610076,25301.982
4.94078643737789,25468.844
4.975952177145704,25715.42
5.011117916913518,25998.85
5.046283656681332,26271.64
5.0814493964491465,26446.238
5.116615136216961,26559.889
5.151780875984775,26636.697
5.186946615752588,26668.012
5.222112355520403,26707.857
5.257278095288217,26861.379
5.292443835056031,27046.92
5.327609574823846,27179.867
5.3627753145916595,27304.777
5.397941054359474,27422.39
5.433106794127287,27525.73
5.468272533895102,27619.758
5.503438273662916,27738.834
5.53860401343073,27860.668
5.573769753198545,27983.29
5.608935492966358,28110.377
5.644101232734172,28265.066
5.6792669725019875,28451.246
5.714432712269801,28569.21
5.749598452037615,28614.555
5.784764191805429,28613.084
5.819929931573244,28680.863
5.855095671341058,28820.732
5.890261411108872,28939.012
5.925427150876686,29125.207
5.9605928906445,29367.941
5.995758630412315,29874.695
6.030924370180129,31296.867
6.066090109947942,34438.98
6.101255849715757,38742.48
6.136421589483571,40048.145
6.171587329251385,36683.74
6.206753069019199,32924.426
6.241918808787013,30998.701
6.277084548554828,30166.521
6.312250288322642,29971.379
6.347416028090456,30034.586
6.3825817678582695,30041.084
6.417747507626085,29955.062
6.452913247393899,29896.258
6.488078987161712,29991.15
6.523244726929527,30240.508
6.558410466697341,30712.475
6.593576206465155,31290.334
6.62874194623297,31496.809
6.663907686000783,31095.852
6.6990734257685975,30607.227
6.734239165536411,30474.977
6.769404905304226,30443.314
6.80457064507204,30292.318
6.8397363848398545,30122.133
6.874902124607669,30052.635
6.910067864375482,30071.297
6.945233604143297,30122.213
6.980399343911111,30195.598
7.015565083678925,30267.988
7.05073082344674,30329.578
7.085896563214553,30375.008
7.121062302982367,30420.418
7.1562280427501825,30433.598
7.191393782517996,30460.012
7.22655952228581,30623.43
7.2617252620536235,30942.662
7.296891001821439,31332.887
7.332056741589253,31535.621
7.367222481357066,31353.709
7.402388221124881,31030.64
7.437553960892695,30798.072
7.472719700660509,30724.45
7.507885440428323,30751.355
7.543051180196137,30799.004
7.5782169199639515,30921.092
7.613382659731766,31187.662
7.64854839949958,31572.059
7.683714139267393,31918.44
7.7188798790352084,31876.53
7.754045618803023,31546.453
7.789211358570836,31287.133
7.824377098338651,31212.732
7.8595428381064645,31220.4
7.894708577874279,31251.684
7.929874317642094,31274.94
7.965040057409907,31326.295
8.000205797177722,31356.863
8.035371536945535,31400.02
8.070537276713349,31468.717
8.105703016481165,31500.033
8.140868756248977,31535.02
8.176034496016792,31626.71
8.211200235784606,31711.533
8.24636597555242,31753.09
8.281531715320236,31792.732
8.316697455088049,31848.285
8.351863194855863,31899.684
8.387028934623677,31974.39
8.422194674391491,32054.873
8.457360414159306,32093.82
8.49252615392712,32115.496
8.527691893694934,32191.807
8.562857633462748,32276.42
8.598023373230562,32354.902
8.633189112998377,32409.283
8.66835485276619,32481.332
8.703520592534005,32629.674
8.73868633230182,32910.258
8.773852072069634,33494.48
8.809017811837446,34222.51
8.844183551605262,34376.816
8.879349291373076,33801.223
8.914515031140889,33289.14
8.949680770908705,33140.867
8.984846510676517,33148.86
9.020012250444331,33252.098
9.055177990212147,33432.832
9.09034372997996,33659.043
9.125509469747774,33858.285
9.160675209515588,33980.79
9.195840949283403,34297.934
9.231006689051217,35414.586
9.266172428819031,38060.832
9.301338168586845,42670.066
9.33650390835466,46671.805
9.371669648122474,47027.47
9.406835387890288,45102.63
9.442001127658102,43815.39
9.477166867425915,42937.582
9.51233260719373,40802.336
9.547498346961545,38413.863
9.582664086729359,36725.527
9.617829826497173,35888.84
9.652995566264986,35712.56
9.6881613060328,35859.74
9.723327045800616,36029.156
9.75849278556843,36323.96
9.793658525336244,36767.348
9.828824265104057,37528.797
9.863990004871871,39284.758
9.899155744639685,42920.74
9.934321484407501,50201.566
9.969487224175316,61192.504
10.004652963943128,66678.36
10.039818703710942,59146.332
10.074984443478757,47558.21
10.110150183246573,42670.32
10.145315923014387,41462.375
10.1804816627822,41092.496
10.215647402550013,40057.92
10.250813142317828,38718.098
10.285978882085642,38085.816
10.321144621853454,38067.402
10.35631036162127,38187.07
10.391476101389085,38255.79
10.426641841156899,38410.062
10.461807580924713,38755.594
10.496973320692526,39104.27
10.53213906046034,39459.08
10.567304800228156,39536.11
10.60247053999597,39510.62
10.637636279763784,39968.63
10.672802019531597,41159.707
10.707967759299411,42693.855
10.743133499067225,43335.38
10.778299238835041,42555.887
10.813464978602855,41598.242
10.848630718370668,41397.645
10.883796458138482,42183.91
10.918962197906296,44053.617
10.95412793767411,46259.832
10.989293677441927,46751.46
11.024459417209739,45149.918
11.059625156977553,43631.64
11.094790896745367,42957.51
11.129956636513182,42812.906
11.165122376280996,42985.66
11.200288116048808,43318.9
11.235453855816624,43773.41
11.270619595584439,44468.035
11.305785335352253,45614.0
11.340951075120067,47009.664
11.37611681488788,47835.344
11.411282554655694,47355.07
11.44644829442351,46649.89
11.481614034191324,47021.06
11.516779773959138,47985.89
11.55194551372695,48542.93
11.587111253494765,48104.367
11.62227699326258,47297.617
11.657442733030395,46910.773
11.69260847279821,46941.465
11.727774212566022,47255.58
11.762939952333836,47838.566
11.79810569210165,48850.383
11.833271431869465,50536.71
11.86843717163728,52842.266
11.903602911405093,55110.4
11.938768651172907,56317.367
11.973934390940721,56390.004
12.009100130708536,56239.066
12.044265870476352,56137.047
12.079431610244164,55289.16
12.114597350011978,53594.43
12.149763089779793,52081.363
12.184928829547607,51701.95
12.220094569315421,52357.387
12.255260309083233,53243.555
12.29042604885105,53452.477
12.325591788618864,53305.23
12.360757528386678,53600.07
12.39592326815449,53797.293
12.431089007922305,53102.812
12.466254747690119,52012.05
12.501420487457935,51256.2
12.53658622722575,50469.344
12.571751966993562,49568.816
12.606917706761376,49300.85
12.64208344652919,49960.703
12.677249186297004,51827.117
12.71241492606482,55208.35
12.747580665832633,58961.98
12.782746405600447,60693.11
12.817912145368261,59515.31
12.853077885136075,57547.637
12.88824362490389,56800.492
12.923409364671702,57630.008
12.958575104439518,59770.098
12.993740844207332,62362.13
13.028906583975147,64237.88
13.06407232374296,64808.008
13.099238063510773,62512.945
13.134403803278587,57656.543
13.169569543046403,53239.06
13.204735282814218,50538.395
13.239901022582032,48935.56
13.275066762349844,47918.336
13.310232502117659,47442.348
13.345398241885473,47454.14
13.380563981653289,47462.94
13.415729721421103,46979.902
13.450895461188916,46470.754
13.48606120095673,46699.812
13.521226940724544,47414.652
13.556392680492358,47871.816
13.591558420260174,47804.875
13.626724160027987,48311.707
13.661889899795801,50547.75
13.697055639563615,53724.203
13.73222137933143,55657.777
13.767387119099245,54652.79
13.802552858867058,52216.16
13.837718598634872,49814.758
13.872884338402686,48462.938
13.9080500781705,49082.848
13.943215817938315,50903.508
13.978381557706127,52939.05
14.013547297473943,54606.285
14.048713037241757,55143.215
14.083878777009572,53385.98
14.119044516777386,50286.953
14.154210256545198,48770.555
14.189375996313013,48676.66
14.224541736080829,48708.793
14.259707475848643,48482.918
14.294873215616457,48190.387
14.33003895538427,48040.707
14.365204695152084,49433.77
14.400370434919898,52297.29
14.435536174687714,54830.297
